2a51602-5a76-463d-9b09-de0d533f016c, 应急指挥中心,0,0371-89287654, 12345678, NULL, 应急指挥中心,NULL,1, 2016-01-04 08:00:00,1, 2016-01-04 08:00:00,0, NULL,AUTO, AUTO
2a50102-5a76-463d-9b09-de0d533f026c, 应急处置领导小组办公室,0, 0371-89287654, 12345678, NULL, 应急处置领导小组办公室, NULL,1, 2016-01-04 08:00:00,1, 2016-01-04 08:00:00,0, NULL,AUTO, AUTO
2a50102-5a76-463d-9b09-de0d533f036c, 技术处置工作小组,0, 0371-89287654, 12345678, NULL, 技术处置工作小组, NULL,1, 2016-01-04 08:00:00,1, 2016-01-04 08:00:00,0, NULL,AUTO, AUTO
2a50102-5a76-463d-9b09-de0d533f046c, 交易业务处置工作小组,0, 0371-89287654, 12345678, NULL, 交易业务处置工作小组, NULL,1, 2016-01-04 08:00:00,1, 2016-01-04 08:00:00,0, NULL,AUTO, AUTO
2a01602-5a76-463d-9b09-de0d533f056c, 客户服务处置工作小组,0, 0371-89287654, 12345678, NULL, 客户服务处置工作小组, NULL,1, 2016-01-04 08:00:00,1, 2016-01-04 08:00:00,0, NULL,AUTO, AUTO
2a50602-5a76-463d-9b09-de0d533f066c, 精算业务处置工作小组,0, 0371-89287654, 12345678, NULL, 精算业务处置工作小组, NULL,1, 2016-01-04 08:00:00,1, 2016-01-04 08:00:00,0, NULL,AUTO, AUTO
2501602-5a76-463d-9b09-de0d533f057c, 后勤保障处置工作小组,0, 0371-89287654, 12345678, NULL, 后勤保障处置工作小组, NULL,1, 2016-01-04 08:00:00,1, 2016-01-04 08:00:00,0, NULL,AUTO, AUTO
3d379d64-9434-4d9a-b381-4dc609824e86, AUTO_RD,0, 010-23456789, 12345678, NULL, 北京-研发, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, AUTO
3429b8ff-cf9c-4968-8773-de7c3e04c577, AUTO_HR,0, 010-23456789, , NULL, 北京-人资, 北京,1, 2015-06-29 16:10:50,1, 2015-06-29 16:11:57,0, NULL,AUTO, AUTO
3439b8ff-cf9c-4968-8773-de7c3e04c577, AUTO_FIN,0, 010-23456789, , NULL, 北京-运维, 北京,1, 2015-06-29 16:10:50,1, 2015-06-29 16:11:57,0, NULL,AUTO, AUTO
3449b8ff-cf9c-4968-8773-de7c3e04c577, AUTO_BOCC,0, 010-23456789, , NULL, 北京-研发,北京 ,1, 2015-06-29 16:10:50,1, 2015-06-29 16:11:57,0, NULL,AUTO, AUTO
3d379d64-9434-4d9a-b381-4dc609824e86, AUTO_RD_RD1,0, 010-23456789, , NULL, 北京-研发-研发1, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, AUTO_RD
3d379d64-9434-4d9a-b381-4dc609824e86, AUTO_RD_RD2,0, 010-23456789, , NULL, 北京-研发-研发2, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, AUTO_RD
3d379d64-9434-4d9a-b381-4dc609824e86, AUTO_RD_RD1_OLTP,1, 010-23456789, , NULL, 北京-研发-研发1-OLTP, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, AUTO_RD_RD1
3d379d64-9434-4d9a-b381-4dc609824e86, AUTO_RD_RD1_SBC,1, 010-23456789, , NULL, 北京-研发-研发1-SBC, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, AUTO_RD_RD1
3d379d64-9434-4d9a-b381-4dc609824e86, AUTO_RD_RD1_SIT,1, 010-23456789, , NULL, 北京-研发-研发1-SIT, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, AUTO_RD_RD1
3449b8ff-cf9c-4968-8773-de7c3e04c577, AUTO_BOCC_B1,1, 010-23456789, , NULL, 北京-运维—B1, 北京,1, 2015-06-29 16:10:50,1, 2015-06-29 16:11:57,0, NULL,AUTO, AUTO_BOCC
3449b8ff-cf9c-4968-8773-de7c3e04c577, AUTO_BOCC_ZC,1, 010-23456789, , NULL, 北京-运维-支持, 北京,1, 2015-06-29 16:10:50,1, 2015-06-29 16:11:57,0, NULL,AUTO, AUTO_BOCC
3d379d64-9434-4d9a-b381-4dc609824e86, YY_RD,0, 010-23456789, 12345678, NULL, 四惠, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, AUTO
3429b8ff-cf9c-4968-8773-de7c3e04c577, YY_HR,0, 010-23456789, , NULL, 四惠, 北京,1, 2015-06-29 16:10:50,1, 2015-06-29 16:11:57,0, NULL,AUTO, AUTO
3439b8ff-cf9c-4968-8773-de7c3e04c577, YY_FIN,0, 010-23456789, , NULL, 四惠, 北京,1, 2015-06-29 16:10:50,1, 2015-06-29 16:11:57,0, NULL,AUTO, AUTO
3449b8ff-cf9c-4968-8773-de7c3e04c577, YY_BOCC,0, 010-23456789, , NULL, 四惠,北京 ,1, 2015-06-29 16:10:50,1, 2015-06-29 16:11:57,0, NULL,AUTO, AUTO
3d379d64-9434-4d9a-b381-4dc609824e86, YY_RD_RD1,0, 010-23456789, , NULL, 四惠, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, YY_RD
3d379d64-9434-4d9a-b381-4dc609824e86, YY_RD_RD2,0, 010-23456789, , NULL, 四惠, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, YY_RD
3d379d64-9434-4d9a-b381-4dc609824e86, YY_RD_RD1_OLTP,1, 010-23456789, , NULL, 四惠, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, YY_RD_RD1
3d379d64-9434-4d9a-b381-4dc609824e86, YY_RD_RD1_SBC,1, 010-23456789, , NULL, 四惠, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, YY_RD_RD1
3d379d64-9434-4d9a-b381-4dc609824e86, YY_RD_RD1_SIT,1, 010-23456789, , NULL, 四惠, 北京,1, 2015-03-27 08:00:00,1, 2015-03-27 08:00:00,0, NULL,AUTO, YY_RD_RD1
3449b8ff-cf9c-4968-8773-de7c3e04c577, YY_BOCC_B1,1, 010-23456789, , NULL, 四惠, 北京,1, 2015-06-29 16:10:50,1, 2015-06-29 16:11:57,0, NULL,AUTO, YY_BOCC
3449b8ff-cf9c-4968-8773-de7c3e04c577, YY_BOCC_ZC,1, 010-23456789, , NULL, 四惠, 北京,1, 2015-06-29 16:10:50,1, 2015-06-29 16:11:57,0, NULL,AUTO, YY_BOCC
